Product Name,Price (INR),Product ID,HS Code,Subcategory,Clean Image URL
Handmade Terracotta Flower Vase,161.25-169.31,BBE-SRID-FL-TE-0061,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0509_whatsapp-image-2026-01-01-at-12-30-45-am-1-500x500.jpeg
Decorative Terracotta Flower Vase,134.375-141.09,BBE-SRID-FL-TE-0062,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0510_whatsapp-image-2026-01-01-at-12-30-42-am-500x500.jpeg
Terracotta Flower Vase,134.375-141.09,BBE-SRID-FL-TE-0063,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0511_whatsapp-image-2026-01-01-at-12-30-44-am-1-500x500.jpeg
TERRACOTTA CLAY HANDMADE HANDCRAFTED ECO-FRIENDLY MA DURGA MAHISHASURMARDINI IDOL STATUE SCULPTURE,5375-5643.75,BBE-SRID-ID-TE-0064,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0512_product-jpeg-500x500.jpeg
TERRACOTTA CLAY MA SARASWATI MURTI IDOL STATUE,5375-5643.75,BBE-SRID-ID-TE-0065,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0513_product-jpeg-500x500.jpg
Terracotta Ganesha Wall Hanging,53.75-56.44,BBE-SRID-WA-TE-0066,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0514_product-jpeg-500x500.jpg
Terracotta Diya,43-45.15,BBE-SRID-DI-TE-0067,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0515_product-jpeg-500x500.jpg
Terracotta Clay Diya,376.25-395.06,BBE-SRID-DI-TE-0068,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0516_product-jpeg-500x500.jpg
HANDMADE HANDCRAFTED TERRACOTTA CLAY DURGA FACE WITH BAMBOO AND SHOLAPITH WORK,376.25-395.06,BBE-SRID-ID-TE-0069,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0517_product-jpeg-500x500.jpg
TERRACOTTA CLAY HANDMADE HANDCRAFTED MA KALI IDOL,483.75-507.94,BBE-SRID-ID-TE-0070,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0518_product-jpeg-500x500.jpg
Bankura Terracotta Horse,1075-1128.75,BBE-SRID-SH-TE-0071,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0519_product-jpeg-500x500.jpg
TERRACOTTA CLAY DECORATIVE DIYA PRADIP,7.525-7.9,BBE-SRID-DI-TE-0072,69120040,Terracotta,https://www.bluebloodexports.com/images/products/img_0520_product-jpeg-500x500.jpeg
Wooden Crane Couple Figurine,215-225.75,BBE-SRID-SH-WO-0073,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0521_img-20250712-wa0083-500x500.jpg
Wooden Lord Ganesha Statue,1075-1128.75,BBE-SRID-ID-WO-0074,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0522_img-20250712-wa0092-500x500.jpg
Wooden Bankura Horse Pair Statue,483.75-507.94,BBE-SRID-ID-WO-0075,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0523_img-20250712-wa0077-500x500.jpg
Wooden Rhino Statue,537.5-564.38,BBE-SRID-ID-WO-0076,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0524_img-20250712-wa0073-500x500.jpg
Wooden Lord Krishna Statue,537.5-564.38,BBE-SRID-ID-WO-0077,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0525_img-20250712-wa0087-500x500.jpg
WOODEN OWL- BENGAL FOLK ART HANDCRAFTED,537.5-564.38,BBE-SRID-SH-WO-0078,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0526_product-jpeg-500x500.jpg
WOODEN OWL.BENGAL FOLK ART,537.5-564.38,BBE-SRID-SH-WO-0079,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0527_product-jpeg-500x500.jpg
WOODEN OWL - FOLK ART OF BENGAL,537.5-564.38,BBE-SRID-SH-WO-0080,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0528_product-jpeg-500x500.jpg
HANDCRAFTED WOODEN OWL..FOLK ART OF BENGAL,537.5-564.38,BBE-SRID-SH-WO-0081,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0529_product-jpeg-500x500.jpeg
WOODEN RHINO SHOWPIECE ASSAM RHINO ONE HORNED RHINI HANDCRAFTED,215-225.75,BBE-SRID-SH-WO-0082,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0530_product-jpeg-500x500.jpeg
WOODEN CRANE DECORATIVE SHOWPIECE,268.75-282.19,BBE-SRID-SH-WO-0083,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0531_product-jpeg-500x500.jpeg
WOODEN HANDCRAFTED WALL MOUNT DEER HEAD,430-451.5,BBE-SRID-WA-WO-0084,44201900,Wood,https://www.bluebloodexports.com/images/products/img_0532_product-jpeg-500x500.jpeg
